Date,Value,year,month
197305,64.3,1973,5
197306,71.0,1973,6
197307,75.1,1973,7
197308,73.3,1973,8
197309,67.5,1973,9
197310,58.9,1973,10
197311,47.9,1973,11
197312,44.8,1973,12
197401,41.5,1974,1
197402,44.4,1974,2
197403,49.3,1974,3
197404,52.5,1974,4
197405,61.4,1974,5
197406,70.8,1974,6
197407,74.2,1974,7
197408,73.7,1974,8
197409,71.8,1974,9
197410,60.5,1974,10
197411,49.5,1974,11
197412,42.0,1974,12
197501,42.5,1975,1
197502,43.8,1975,2
197503,46.0,1975,3
197504,47.1,1975,4
197505,60.8,1975,5
197506,68.0,1975,6
197507,73.8,1975,7
197508,72.1,1975,8
197509,71.0,1975,9
197510,57.5,1975,10
197511,47.9,1975,11
197512,44.7,1975,12
197601,44.4,1976,1
197602,46.0,1976,2
197603,47.3,1976,3
197604,50.8,1976,4
197605,63.2,1976,5
197606,67.9,1976,6
197607,74.7,1976,7
197608,69.8,1976,8
197609,68.0,1976,9
197610,60.6,1976,10
197611,53.1,1976,11
197612,43.9,1976,12
197701,41.3,1977,1
197702,48.8,1977,2
197703,45.3,1977,3
197704,56.6,1977,4
197705,54.8,1977,5
197706,71.4,1977,6
197707,74.8,1977,7
197708,75.0,1977,8
197709,67.8,1977,9
197710,61.2,1977,10
197711,51.3,1977,11
197712,47.4,1977,12
197801,45.4,1978,1
197802,46.5,1978,2
197803,52.6,1978,3
197804,51.5,1978,4
197805,61.1,1978,5
197806,69.0,1978,6
197807,74.8,1978,7
197808,73.8,1978,8
197809,66.7,1978,9
197810,63.7,1978,10
197811,47.0,1978,11
197812,39.2,1978,12
197901,40.1,1979,1
197902,43.4,1979,2
197903,49.2,1979,3
197904,53.6,1979,4
197905,62.5,1979,5
197906,69.6,1979,6
197907,74.5,1979,7
197908,71.9,1979,8
197909,72.2,1979,9
197910,61.1,1979,10
197911,48.2,1979,11
197912,45.7,1979,12
198001,45.9,1980,1
198002,48.8,1980,2
198003,47.3,1980,3
198004,54.5,1980,4
198005,58.2,1980,5
198006,65.5,1980,6
198007,75.4,1980,7
198008,73.0,1980,8
198009,68.6,1980,9
198010,61.4,1980,10
198011,51.2,1980,11
198012,47.1,1980,12
198101,46.7,1981,1
198102,47.7,1981,2
198103,48.7,1981,3
198104,56.5,1981,4
198105,61.9,1981,5
198106,73.2,1981,6
198107,75.5,1981,7
198108,75.8,1981,8
198109,70.4,1981,9
198110,56.7,1981,10
198111,51.8,1981,11
198112,46.7,1981,12
198201,40.4,1982,1
198202,46.9,1982,2
198203,46.8,1982,3
198204,52.1,1982,4
198205,61.8,1982,5
198206,66.4,1982,6
198207,73.1,1982,7
198208,73.9,1982,8
198209,67.1,1982,9
198210,58.4,1982,10
198211,46.7,1982,11
198212,42.5,1982,12
198301,44.2,1983,1
198302,46.8,1983,2
198303,48.6,1983,3
198304,49.8,1983,4
198305,61.3,1983,5
198306,67.5,1983,6
198307,71.9,1983,7
198308,73.7,1983,8
198309,71.0,1983,9
198310,61.4,1983,10
198311,49.2,1983,11
198312,45.2,1983,12
198401,45.4,1984,1
198402,46.1,1984,2
198403,52.0,1984,3
198404,52.9,1984,4
198405,65.3,1984,5
198406,68.2,1984,6
198407,77.0,1984,7
198408,74.9,1984,8
198409,72.2,1984,9
198410,56.2,1984,10
198411,47.6,1984,11
198412,40.8,1984,12
198501,41.7,1985,1
198502,45.2,1985,2
198503,46.4,1985,3
198504,58.2,1985,4
198505,61.2,1985,5
198506,72.3,1985,6
198507,77.2,1985,7
198508,73.0,1985,8
198509,64.4,1985,9
198510,58.9,1985,10
198511,46.0,1985,11
198512,43.4,1985,12
198601,48.8,1986,1
198602,48.8,1986,2
198603,53.6,1986,3
198604,54.6,1986,4
198605,62.2,1986,5
198606,71.2,1986,6
198607,72.9,1986,7
198608,76.0,1986,8
198609,63.5,1986,9
198610,59.1,1986,10
198611,51.7,1986,11
198612,44.1,1986,12
198701,41.4,1987,1
198702,46.2,1987,2
198703,48.6,1987,3
198704,59.3,1987,4
198705,63.5,1987,5
198706,71.0,1987,6
198707,70.9,1987,7
198708,74.3,1987,8
198709,69.8,1987,9
198710,64.0,1987,10
198711,49.4,1987,11
198712,40.9,1987,12
198801,42.7,1988,1
198802,48.5,1988,2
198803,51.6,1988,3
198804,55.2,1988,4
198805,60.3,1988,5
198806,68.2,1988,6
198807,77.6,1988,7
198808,74.6,1988,8
198809,69.4,1988,9
198810,64.6,1988,10
198811,49.8,1988,11
198812,42.5,1988,12
198901,40.9,1989,1
198902,42.7,1989,2
198903,51.8,1989,3
198904,60.0,1989,4
198905,61.4,1989,5
198906,69.5,1989,6
198907,75.3,1989,7
198908,72.1,1989,8
198909,68.1,1989,9
198910,58.9,1989,10
198911,51.8,1989,11
198912,44.8,1989,12
199001,43.1,1990,1
199002,42.7,1990,2
199003,51.4,1990,3
199004,58.4,1990,4
199005,60.2,1990,5
199006,69.4,1990,6
199007,76.4,1990,7
199008,73.7,1990,8
199009,69.9,1990,9
199010,62.0,1990,10
199011,50.0,1990,11
199012,38.4,1990,12
199101,43.6,1991,1
199102,51.5,1991,2
199103,44.8,1991,3
199104,52.7,1991,4
199105,57.9,1991,5
